1565033177676222470,2022-08-31 17:46:01+00:00,"The MAN @regejean is in MOTION!😍 OH DARLINGS🥰there just are NO OTHERS!!💖 (violets voice)..🤗

BLACK MAjIC✨✨✨✨✨

#regejean #regéjean
#regejeanpage
#regéjeanpage #armani
#armanicode
#armanibeauty #roots
#abcftp #sylvieslove
#bridgerton #thegrayman
#dnd #thesaint https://t.co/r2Kp67Zb71",,1,17
1565031140661923840,2022-08-31 17:37:55+00:00,I just realized that @thepattern has celebrities loaded that you can analyze your compatibility with and I just have to say that @ChrisEvans and I are astrologically BFFs who just haven't met yet,,0,0
1565030982566174721,2022-08-31 17:37:17+00:00,"Six never answered this...
@RyanGosling #TheGrayMan https://t.co/J4a7JutRlO",,0,0
1565028390360342528,2022-08-31 17:26:59+00:00,Love of my life. My drawing. @NBCNews @nbc @ChrisEvans @asp https://t.co/JilXf64O8l,,0,0
1565027802943934465,2022-08-31 17:24:39+00:00,Marry me @JLo @AMAs @ChrisEvans @asp https://t.co/VDwK99iCqf,,0,0
1565021600809996289,2022-08-31 17:00:00+00:00,"10 best thriller movies on #Netflix to watch right now from #Bollywood and #Hollywood
#Anek, #TheGrayMan and more to watch on the streamer

https://t.co/SAh0tiFg7C",United Arab Emirates,0,2
1565015336918913024,2022-08-31 16:35:07+00:00,Honestly speaking I will never be fulfilled in this life because @ChrisEvans is not my man.,"Hatfield, South Africa ",0,0
1565014756095844353,2022-08-31 16:32:49+00:00,"Day 241 of asking @MarvelStudios to let me join the #MultiverseSaga as Noh-Varr #TheMarvelBoy💪🏼☄️
I'm training for this role everyday cause I know that one day it will be mine💪🏻☄️🔥  @RobertDowneyJr  @ChrisEvans @JeremyRenner @MarkRuffalo
@chrishemsworth biceps challenge🔥💪🏻 https://t.co/JucnbRdi5r",România,2,6
1565010628879814657,2022-08-31 16:16:25+00:00,Me falling for @ChrisEvans https://t.co/BHmYG0VgJr,Gulabi Gang,0,1
1565007987412013057,2022-08-31 16:05:55+00:00,"#ryangosling #celebrity #JUNGKOOKDAY #KindnessWithMarcus #RHOSLC 
Ryan Gosling is one of the most talented actors in Hollywood. He has a net worth of $70 million, which keeps growing day by day as he lands a new movie role.
https://t.co/rwzKcO7iVC https://t.co/LudQ5r4jde",United States,0,0
1565007760001224704,2022-08-31 16:05:01+00:00,Day 9 of tweeting until @ChrisEvans replies https://t.co/2niVghlFfG https://t.co/usbHyKTKEY,wanna live in the mcu,0,1
1565006990220242948,2022-08-31 16:01:57+00:00,i saw #TheGrayMan last night at work and even though it’s an over the top and cheesy action movie it was really dope,Ventura County,0,0
1565005496368541698,2022-08-31 15:56:01+00:00,Day 12 of tweeting until @ChrisEvans replies https://t.co/tK20eBvJjr,,0,0
1565004410949869571,2022-08-31 15:51:42+00:00,"I don't want to even imagine how many marriage proposals our #TwitterBooBae #ChrisEvans gets daily. No wonder he's not responding to ANY of my Instagram  dm's. 😄🤣 @ChrisEvans

#HollaAtYaGirlChris 😂
#GhostedForReals😅🤦🏾‍♀️
#Instamuted 🤣
#IdMuteItAllTooBoo 🤷🏾‍♀️ https://t.co/t38WuvBUm9","Kaiserslautern, Rheinland-Pfal",0,0
1565004019873054721,2022-08-31 15:50:09+00:00,Lol hi @ChrisEvans 🤣 https://t.co/qrrK32BY57,she/her,0,0
1565003772941697027,2022-08-31 15:49:10+00:00,YES. Love that show! Tartakovsky is 👍 https://t.co/kDreqgj991,DFW/Manille ,0,0
1564999170955649028,2022-08-31 15:30:53+00:00,"Hello, Good Morning Mr @ChrisEvans ,have a lovely day 😊",Liverpool,0,0
1564998262859464706,2022-08-31 15:27:16+00:00,"reminder, chris evans is watching the office 🫶 https://t.co/y1M9OWc1lO",she/her 19,1,3
1564994259119656960,2022-08-31 15:11:22+00:00,"Every actor gives a terrible performance and should be embarrassed at the effort they put in. Awful script and ludacris filmmaking choices. This is just so bad it must be intentional, right?

#movie #film #Stay #Staymovie #DavidBenioff #MarcForster #EwanMcGregor #RyanGosling https://t.co/iSFnpS41zm","Seoul, Republic of Korea",1,0
1564992405958529024,2022-08-31 15:04:00+00:00,"I just had an awesome thought. What if #Disney @Pixar  Did a remake of Oliver &amp; Company. I could definitely see #ChrisEvans doing the voice of Dodger the Dog. 

(Speaking in his Boston accent) 😉 https://t.co/LEmydyXd4P","Kaiserslautern, Rheinland-Pfal",0,2
1564991903115902980,2022-08-31 15:02:00+00:00,"The cinematography in Only God Forgives 😍

#RyanGosling | #FilmTwitter https://t.co/f5OesWtubN","Manchester, England",0,1
1564990231262150665,2022-08-31 14:55:21+00:00,"first I steal ur heart, then I steal your cool Netflix jacket ✌🏻❤️🖤 @RyanGosling #TheGrayMan https://t.co/ZkBJyCzK3b",Kitty Kat Club,0,0
1564988615427497985,2022-08-31 14:48:56+00:00,I would love to see @jesseleesoffer and @ChrisEvans in a movie or something together!!,,0,0
1564986687301844994,2022-08-31 14:41:16+00:00,"If @LunarLander88 is coming out Great Guns with the #Bigger

 I would suggest paying attention to #whatsnext @CryptoAtlasYT @glytchstadiums @darcydonavan @SirNielten @mikemanz_ @csearson_1 @Hankusun @MazerHQ @MonsterEnergy @FaZeClan @MrBeast @safe_rick @ChrisEvans @VideoGameDJ https://t.co/7Poxle9HxE","Michigan, USA",4,9
1564984449762091010,2022-08-31 14:32:23+00:00,"Nothing more true than this quote. 

#ChrisEvans @ChrisEvans #love https://t.co/2R90tZZA53",,0,0
1564984045720817664,2022-08-31 14:30:47+00:00,"What Watch Is That❓️

Chris Evans, as Lloyd Hansen in 2022’s “The Gray Man”, wears a Hamilton American Classic Boulton Quartz Watch (H13431553).

✔️ Retails: roughly 💲600

#netflix #mcu #watchgang #chrisevans #hamiltonwatches #thegrayman #captainamerica #avengers https://t.co/6GE1ht1FRw","Los Angeles, CA",0,0
1564983574071332864,2022-08-31 14:28:54+00:00,"Having just an OK week so far?

Here's a smiling screenshot of Chris Evans during our recent chat to help make it better! #YoureWelcome

More from my smile-filled @ChrisEvans conversation at @Forbes: https://t.co/SoZbKkUm3i https://t.co/WVY1CjF2as","Los Angeles, CA",5,23
1564980318607552512,2022-08-31 14:15:58+00:00,"Looks like another year where the Hallloween costumes will never be taken off.
Someone call Marvel, the next gen has landed! 

⁦@ChrisEvans⁩ ⁦@MarkRuffalo⁩ https://t.co/1gdKjKhtdn",Canada,0,1
1564979718901927937,2022-08-31 14:13:35+00:00,"You want kill myself Mr Evans 😍♥️
NEW
@chrisevans filming #painhustlers in Miami recently
#ChrisEvans #painhustlers #makingof https://t.co/7bCWR7aJsx","Boston, MA",2,4
